id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq
132,0,B,6DoF,3.0,7.0,0.194115549325943,4.26383638381958,3.4861128330230713,0.7777234315872192,126.9825,2,bimanual,0.17328101296929618,3,2
132,0,C,4DoF,0.0,0.0,0.25142067670822144,3.9451634883880615,3.249884843826294,0.6952787041664124,56.185,1,unimanual,0.23147241382994257,3,2
132,0,C,6DoF,2.0,6.0,0.22008730471134186,3.994748592376709,3.315978765487671,0.6787693500518799,52.4061,2,bimanual,0.15274463007159905,2,1
132,0,D,4DoF,1.0,1.0,0.20993608236312866,4.30086612701416,3.3440284729003906,0.9568375945091248,78.44,1,unimanual,0.19128261368563337,2,1
132,0,D,6DoF,0.0,4.0,0.2271054983139038,4.119330883026123,3.300457715988159,0.8188732862472534,91.7007,2,bimanual,0.19633936167891972,2,1
133,1,A,4DoF,0.0,4.0,0.2329694628715515,3.4824001789093018,3.280208110809326,0.20219245553016663,40.0474,1,bimanual,0.14990293784774358,4,0
133,1,A,6DoF,1.0,1.0,0.2354663461446762,3.458576202392578,3.2745769023895264,0.1839994639158249,56.173,2,unimanual,0.12466474089324069,2,2
133,1,B,4DoF,1.0,5.0,0.24744220077991486,3.4882795810699463,3.2565550804138184,0.23172397911548615,39.5693,1,bimanual,0.10114112473987767,5,0
133,1,B,6DoF,3.0,3.0,0.27740004658699036,3.430454969406128,3.2042789459228516,0.22617579996585846,84.7256,2,unimanual,0.18889286350955858,4,2
133,1,C,4DoF,3.0,7.0,0.21764937043190002,3.409525156021118,3.314091920852661,0.09543334692716599,44.3788,1,bimanual,0.15781013637050212,5,0
133,1,C,6DoF,2.0,2.0,0.2121129035949707,3.5231902599334717,3.3275954723358154,0.1955944150686264,54.296699,2,unimanual,0.1474024011851153,2,2
133,1,D,4DoF,2.0,6.0,0.2104884386062622,3.454728603363037,3.32796573638916,0.12676288187503815,42.4348,1,bimanual,0.23577454295104847,5,0
133,1,D,6DoF,0.0,0.0,0.2225763350725174,3.6478469371795654,3.302170515060425,0.3456762731075287,60.8935,2,unimanual,0.11499861180247181,2,2
134,2,A,4DoF,0.0,0.0,0.20665539801120758,3.486302375793457,3.0743730068206787,0.4119293689727783,73.3543,2,unimanual,0.21864733824196608,1,0
134,2,A,6DoF,2.0,6.0,0.20574027299880981,3.305712938308716,3.0742907524108887,0.2314223349094391,75.9642,1,bimanual,0.1843524291724551,1,2
